Kunta;Sijainti;Vuosi;Kokonaisteho (MW);Turbiineja;Omistaja;Laitevalmistaja
Haapajärvi;63.78865°N, 25.37787°E;2017;23;7;ABO Wind Oy/ Infinergies Finland Oy;Vestas
Hyrynsalmi;64.70952°N, 28.704°E;2017;24;8;Taaleri Pääomarahastot Oy;Nordex
Isojoki;62.184699°N, 21.698715°E;2017;7;2;CPC Lakiakangas 1 Oy;Vestas
Kokkola;63.946189°N, 23.617813°E;2017;2;1;Koskenkylän tuulienergia Oy;Enercon
Korsnäs;62.695447°N, 21.177272°E;2017;6;2;Harrström Vindpark Ab;Vestas
Kristiinankaupunki;62.25861°N, 21.32549°E;2017;3;1;Huikku Tuulivoima Oy;Vestas
Lapua;62.957921°N, 22.951578°E;2017;4;1;Kyyttä Energy Oy;Enercon
Simo;65.613228°N, 25.091925°E;2017;10;3;Tuuliwatti Oy;Vestas
Uusikaupunki;60.67701°N, 21.38128°E;2017;18;3;Taaleri Oyj;
Alavieska;64.21633°N, 24.33554°E;2016;30;9;Saarenkylä Tuulipuisto Oy;Vestas
Jokioinen;60.8754°N, 23.30994°E;2016;12;4;Tuulivoimapuisto Tyrinselkä Oy;Vestas
Ii;65.55193°N, 25.32829°E;2016;66;22;Taaleri Pääomarahastot Oy;Nordex
Ilmajoki;62.64403°N, 22.49416°E;2016;56;17;EPV Tuulivoima Oy;Vestas
Kalajoki;64.23744°N, 23.92723°E;2016;7;2;Tuulipuisto Oy Etelänkylä;Vestas
Kalajoki;64.27257°N, 24.05167°E;2016;20;6;TuuliWatti Oy;Vestas
Kalajoki;64.31216°N, 23.98251°E;2016;73;22;Tohkojan Tuulipuisto Oy;Vestas
Kankaanpää;61.93321°N, 22.31319°E;2016;27;9;Taaleri Pääomarahastot Oy;Nordex
Karvia;62.09615°N, 22.57275°E;2016;24;8;Taaleri Pääomarahastot Oy;Nordex
Kauhajoki;62.40414°N, 21.95476°E;2016;3;1;Suotuuli Oy;Lagerwey
Kauhajoki;62.40337°N, 21.95424°E;2016;20;8;SPC 2-Mustaisneva Oy;Lagerwey
Kemi;65.66804°N, 24.54895°E;2016;33;10;OX2 Wind Finland;Siemens Gamesa
Kittilä;67.63721°N, 25.73625°E;2016;24;8;Allianz;Nordex
Kotka;60.42833°N, 26.88556°E;2016;2;3;Kotkan Energia Oy;Enercon
Lappo;62.92164°N, 23.06791°E;2016;21;6;Jouttikallio Wind Oy;Vestas
Perho;63.21274°N, 24.47386°E;2016;27;9;Taaleri Pääomarahastot Oy;Nordex
Posio;66.0147°N, 28.74592°E;2016;23;7;Posion Energia Oy;Vestas
Pyhäjoki;64.3867°N, 24.6264°E;2016;26;8;Tuulipuisto Oy Pyhäjoki;Vestas
Pyhäjoki;64.36296°N, 24.05864°E;2016;33;11;wpd mäkikankaan tuulipuisto Oy;Nordex
Raahe;64.41192°N, 24.8497°E;2016;33;10;Suomen Hyötytuuli Oy;Vestas
Siikajoki;64.78407°N, 24.90429°E;2016;3;1;Tuulisaimaa Oy;Alstom
Simo;65.64607°N, 25.15106°E;2016;3;1;Tuuliwatti Oy;Vestas
Simo;65.67447°N, 25.01415°E;2016;45;13;Tuuliwatti Oy;Vestas
Vörå;63.33029°N, 22.4903°E;2016;3;1;Årvas Wind Ab;Lagerwey
